;papel;cotação;p/l;p/vp;psr;div.yield;p/ativo;p/cap.giro;p/ebit;p/ativ circ.liq;ev/ebit;ev/ebitda;mrg ebit;mrg. líq.;liq. corr.;roic;roe;liq.2meses;patrim. líq;dív.brut/ patrim.;cresc. rec.5a;setor
0;RPMG3;5,240000;-2,370000;-0,140000;0,325000;0,000000;0,169000;-0,160000;-2,130000;-0,130000;-2,130000;-2,220000;-0,152600;-0,137100;0,470000;-0,082100;0,057200;430377,000000;-2618490000,000000;0,000000;0,158700;1
1;DMMO3;2,380000;-1,430000;-1,350000;1,323000;0,000000;0,448000;-3,160000;30,480000;-0,380000;22,160000;5,550000;0,043400;-0,924800;0,540000;0,017300;0,946700;12210700,000000;-474698000,000000;0,000000;-0,024100;1
2;OSXB3;3,240000;-0,030000;-0,000000;0,929000;0,000000;0,003000;-0,020000;-0,210000;-0,000000;-88,300000;-271,470000;-4,380500;-35,658300;0,030000;-0,016400;0,088300;26099,700000;-4308840000,000000;-0,980000;-0,682600;1
3;BRDT3;28,200000;8,830000;3,420000;0,342000;0,093100;1,231000;7,800000;15,520000;-8,790000;16,610000;13,520000;0,022000;0,038700;1,460000;0,101200;0,387400;185712000,000000;9602000000,000000;0,650000;0,003100;1
4;PETR4;30,270000;11,580000;1,290000;1,225000;0,031000;0,427000;28,320000;4,180000;-0,850000;7,510000;4,640000;0,292800;0,109900;1,100000;0,112400;0,111300;1328240000,000000;306252000000,000000;1,220000;0,012100;1
5;PETR3;32,100000;12,280000;1,370000;1,299000;0,015600;0,453000;30,040000;4,440000;-0,900000;7,760000;4,800000;0,292800;0,109900;1,100000;0,112400;0,111300;321426000,000000;306252000000,000000;1,220000;0,012100;1
6;ENAT3;16,730000;18,630000;1,590000;4,420000;0,114000;1,007000;3,170000;17,770000;16,290000;12,760000;5,570000;0,248700;0,237200;3,870000;0,090100;0,085400;14522300,000000;2795640000,000000;0,090000;0,184700;1
7;CCXC3;1,750000;-0,720000;-0,060000;0,000000;0,000000;0,279000;0,000000;-0,980000;0,000000;-0,850000;-0,850000;0,000000;0,000000;0,000000;0,000000;0,078500;22255,900000;-52699000,000000;0,000000;0,000000;2
8;MMXM3;2,310000;-0,100000;-0,020000;7,133000;0,000000;0,113000;-0,020000;-0,190000;-0,020000;-2,610000;-2,610000;-37,205100;-75,524000;0,040000;-0,917800;0,218500;151776,000000;-719319000,000000;-0,270000;1,062800;2
9;MGEL4;8,100000;-9,310000;-0,120000;0,088000;0,000000;0,124000;0,340000;1,090000;-0,090000;15,550000;10,570000;0,080600;-0,020400;2,680000;0,144000;0,013200;27941,000000;-381306000,000000;-1,760000;0,044900;3
10;PMAM3;27,170000;4,980000;1,420000;0,219000;0,000000;0,256000;2,940000;15,540000;-0,770000;41,570000;13,770000;0,014100;0,044000;1,220000;0,022600;0,284300;1533410,000000;832397000,000000;2,690000;-0,005500;3
11;TKNO4;35,100000;6,430000;0,570000;0,715000;0,000000;0,466000;1,520000;168,530000;1,760000;138,770000;11,950000;0,004200;0,111200;3,130000;0,003300;0,089200;90,000000;180387000,000000;0,020000;0,040900;3
12;FESA4;19,860000;7,240000;0,940000;1,366000;0,067900;0,625000;3,060000;11,980000;-21,630000;13,670000;6,390000;0,114000;0,188900;3,010000;0,058800;0,130300;6553040,000000;1858840000,000000;0,270000;0,108800;3
13;CSNA3;14,210000;8,000000;2,230000;0,790000;0,066800;0,387000;28,400000;3,660000;-0,710000;8,610000;6,860000;0,215900;0,115500;1,060000;0,119700;0,278900;139724000,000000;8838390000,000000;3,310000;0,134300;3
14;FESA3;29,550000;10,780000;1,400000;2,033000;0,041500;0,930000;4,550000;17,830000;-32,180000;19,510000;9,120000;0,114000;0,188900;3,010000;0,058800;0,130300;8839,510000;1858840000,000000;0,270000;0,108800;3
